date,cloud_cover,weather_desc
2015-03-16,100,"Light rain shower"
2015-03-17,99,"Patchy rain nearby"
2015-03-18,13,Sunny
2015-03-19,67,Cloudy
2015-03-20,98,Overcast
2015-03-21,29,"Partly Cloudy"
2015-03-22,32,"Partly Cloudy"
2015-03-23,36,"Patchy rain nearby"
2015-03-24,9,Sunny
2015-03-25,4,Sunny
2015-03-26,82,Cloudy
2015-03-27,49,"Partly Cloudy"
2015-03-28,91,"Light drizzle"
2015-03-29,90,"Light rain"
2015-03-30,100,"Light rain shower"
2015-03-31,46,"Light sleet showers"
