date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp
2011-10-01,74,"Patchy light rain",13.6,13,17
2011-10-02,100,"Moderate rain",11.9,12,16
2011-10-03,26,"Patchy rain nearby",1.6,8,16
2011-10-04,79,"Light rain shower",0.6,10,13
2011-10-05,77,"Light drizzle",3.7,6,15
2011-10-06,91,"Light rain shower",2.4,7,11
2011-10-07,58,"Partly Cloudy",0.2,7,12
2011-10-08,84,"Light drizzle",5.9,10,13
2011-10-09,100,"Light drizzle",4.0,10,15
2011-10-10,76,"Light rain shower",2.8,8,12
2011-10-11,66,"Light rain shower",1.2,7,12
2011-10-12,87,Cloudy,8.8,5,11
2011-10-13,77,Cloudy,0.1,10,14
2011-10-14,87,Cloudy,0.4,10,15
2011-10-15,46,"Partly Cloudy",1.1,9,13
2011-10-16,53,"Partly Cloudy",2.0,8,12
2011-10-17,100,"Moderate rain",17.7,3,10
2011-10-18,21,"Patchy rain nearby",0.2,3,8
2011-10-19,31,"Partly Cloudy",0.1,2,7
2011-10-20,91,"Light rain shower",3.1,9,9
2011-10-21,78,Cloudy,2.0,9,13
2011-10-22,43,"Partly Cloudy",1.1,8,11
2011-10-23,75,"Light drizzle",1.6,10,14
2011-10-24,7,Sunny,0.3,8,14
2011-10-25,100,Overcast,4.2,6,13
2011-10-26,79,Cloudy,0.8,6,11
2011-10-27,82,Cloudy,1.2,5,11
2011-10-28,19,Sunny,0.0,8,11
2011-10-29,53,"Patchy light drizzle",6.1,10,12
2011-10-30,71,Cloudy,0.4,11,14
2011-10-31,71,Cloudy,2.5,13,15
2011-11-01,17,Sunny,0.8,6,12
2011-11-02,62,"Partly Cloudy",0.1,9,11
2011-11-03,78,Cloudy,5.8,9,14
2011-11-04,68,"Patchy light drizzle",0.8,5,13
2011-11-05,25,Sunny,0.0,4,10
2011-11-06,1,Sunny,0.0,3,9
2011-11-07,0,Sunny,0.0,4,10
2011-11-08,65,Cloudy,0.6,8,11
2011-11-09,50,"Partly Cloudy",1.1,9,11
2011-11-10,68,Cloudy,1.7,8,12
2011-11-11,52,"Partly Cloudy",1.8,8,10
2011-11-12,4,Sunny,3.2,6,11
2011-11-13,51,"Partly Cloudy",0.0,7,12
2011-11-14,25,Sunny,0.0,6,10
2011-11-15,80,Cloudy,0.3,5,10
2011-11-16,32,"Partly Cloudy",0.1,6,8
2011-11-17,17,Sunny,2.8,9,10
2011-11-18,61,"Partly Cloudy",3.6,7,13
2011-11-19,44,"Partly Cloudy",0.2,7,11
2011-11-20,68,Cloudy,0.4,7,12
2011-11-21,34,"Partly Cloudy",1.7,6,11
2011-11-22,37,"Partly Cloudy",3.5,3,9
2011-11-23,71,Cloudy,1.5,5,9
2011-11-24,71,Cloudy,1.9,6,11
2011-11-25,34,"Moderate rain at times",6.5,3,5
2011-11-26,82,Cloudy,1.4,10,12
2011-11-27,10,Sunny,3.0,4,7
2011-11-28,78,Cloudy,1.4,5,8
2011-11-29,100,"Moderate rain",13.4,3,11
2011-11-30,40,"Partly Cloudy",1.6,8,8
2011-12-01,38,"Partly Cloudy",7.0,1,6
2011-12-02,90,"Light drizzle",1.4,6,6
2011-12-03,81,"Light drizzle",0.8,0,5
2011-12-04,25,"Partly Cloudy",0.6,0,4
2011-12-05,23,Sunny,0.3,-1,3
2011-12-06,18,Sunny,0.0,1,3
2011-12-07,9,Sunny,3.0,2,3
2011-12-08,21,"Patchy rain nearby",12.1,2,7
2011-12-09,58,"Partly Cloudy",0.1,-1,2
2011-12-10,21,Sunny,1.8,2,3
2011-12-11,85,Cloudy,1.5,1,5
2011-12-12,10,Sunny,1.0,2,5
2011-12-13,31,"Partly Cloudy",4.9,2,5
2011-12-14,60,"Patchy light drizzle",2.6,-1,4
2011-12-15,14,Sunny,0.6,-2,3
2011-12-16,11,Sunny,3.7,-1,2
2011-12-17,39,Sunny,2.2,-2,2
2011-12-18,32,"Partly Cloudy",0.0,-1,0
2011-12-19,100,"Moderate rain",5.1,1,4
2011-12-20,78,Cloudy,1.8,2,3
2011-12-21,78,Cloudy,4.3,7,8
2011-12-22,74,"Patchy light drizzle",2.3,9,11
2011-12-23,20,Sunny,3.8,2,6
2011-12-24,81,"Light drizzle",1.1,8,8
2011-12-25,53,"Patchy light drizzle",1.3,9,11
2011-12-26,66,Cloudy,1.7,6,11
2011-12-27,99,Overcast,0.9,4,8
2011-12-28,77,"Light drizzle",3.7,2,8
2011-12-29,55,"Light rain shower",2.6,2,5
2011-12-30,100,"Light rain",6.5,1,4
2011-12-31,89,"Light drizzle",1.8,8,10
2011-01-01,28,Sunny,0.0,-3,1
2011-01-02,0,Sunny,0.0,-3,1
2011-01-03,35,"Partly Cloudy",0.0,-2,1
2011-02-01,29,Sunny,1.6,2,5
2011-02-02,72,"Patchy light drizzle",1.8,2,9
